Layer Values,Parameter Name,Shape
0.17456597,encoder_soil.fc1.weight,30x34
0.17815991,encoder_soil.fc1.weight,30x34
0.0779323,encoder_soil.fc1.weight,30x34
0.3387707,encoder_soil.fc1.weight,30x34
0.006218581,encoder_soil.fc1.weight,30x34
-0.17992434,encoder_soil.fc1.weight,30x34
-0.02538895,encoder_soil.fc1.weight,30x34
0.031314757,encoder_soil.fc1.weight,30x34
0.058228903,encoder_soil.fc1.weight,30x34
-0.13903846,encoder_soil.fc1.weight,30x34
0.18777463,encoder_soil.fc1.weight,30x34
0.017460125,encoder_soil.fc1.weight,30x34
0.1305114,encoder_soil.fc1.weight,30x34
0.20810193,encoder_soil.fc1.weight,30x34
-0.015514691,encoder_soil.fc1.weight,30x34
0.07582149,encoder_soil.fc1.weight,30x34
0.11020308,encoder_soil.fc1.weight,30x34
0.2838745,encoder_soil.fc1.weight,30x34
0.040525082,encoder_soil.fc1.weight,30x34
-0.100356154,encoder_soil.fc1.weight,30x34
-0.027604893,encoder_soil.fc1.weight,30x34
0.34126413,encoder_soil.fc1.weight,30x34
-0.20690826,encoder_soil.fc1.weight,30x34
0.16269569,encoder_soil.fc1.weight,30x34
-0.10178421,encoder_soil.fc1.weight,30x34
-0.077720225,encoder_soil.fc1.weight,30x34
-0.45080099,encoder_soil.fc1.weight,30x34
0.038562812,encoder_soil.fc1.weight,30x34
-0.038787384,encoder_soil.fc1.weight,30x34
-0.17665902,encoder_soil.fc1.weight,30x34
-0.102643386,encoder_soil.fc1.weight,30x34
-0.046714142,encoder_soil.fc1.weight,30x34
0.11051383,encoder_soil.fc1.weight,30x34
-0.00742391,encoder_soil.fc1.weight,30x34
-0.11912078,encoder_soil.fc1.weight,30x34
0.14067128,encoder_soil.fc1.weight,30x34
-0.0811163,encoder_soil.fc1.weight,30x34
-0.059314575,encoder_soil.fc1.weight,30x34
-0.09719021,encoder_soil.fc1.weight,30x34
-0.19484043,encoder_soil.fc1.weight,30x34
-0.1875937,encoder_soil.fc1.weight,30x34
-0.13690047,encoder_soil.fc1.weight,30x34
0.01892214,encoder_soil.fc1.weight,30x34
0.084082,encoder_soil.fc1.weight,30x34
0.11198134,encoder_soil.fc1.weight,30x34
-0.22181,encoder_soil.fc1.weight,30x34
-0.01799611,encoder_soil.fc1.weight,30x34
0.06426954,encoder_soil.fc1.weight,30x34
0.14852823,encoder_soil.fc1.weight,30x34
-0.08113891,encoder_soil.fc1.weight,30x34
-0.052822884,encoder_soil.fc1.weight,30x34
-0.12894367,encoder_soil.fc1.weight,30x34
-0.5070041,encoder_soil.fc1.weight,30x34
0.11767927,encoder_soil.fc1.weight,30x34
-0.043502323,encoder_soil.fc1.weight,30x34
-0.020620408,encoder_soil.fc1.weight,30x34
0.18844981,encoder_soil.fc1.weight,30x34
-0.026364207,encoder_soil.fc1.weight,30x34
0.02236258,encoder_soil.fc1.weight,30x34
0.16575325,encoder_soil.fc1.weight,30x34
0.37671873,encoder_soil.fc1.weight,30x34
-0.23637106,encoder_soil.fc1.weight,30x34
0.11466315,encoder_soil.fc1.weight,30x34
-0.3185895,encoder_soil.fc1.weight,30x34
-0.035224598,encoder_soil.fc1.weight,30x34
-0.076249704,encoder_soil.fc1.weight,30x34
0.19333845,encoder_soil.fc1.weight,30x34
-0.082382634,encoder_soil.fc1.weight,30x34
-0.18013519,encoder_soil.fc1.weight,30x34
-0.101515844,encoder_soil.fc1.weight,30x34
0.17730096,encoder_soil.fc1.weight,30x34
-0.16271055,encoder_soil.fc1.weight,30x34
-0.16306834,encoder_soil.fc1.weight,30x34
-0.092114754,encoder_soil.fc1.weight,30x34
-0.14632213,encoder_soil.fc1.weight,30x34
-0.12903133,encoder_soil.fc1.weight,30x34
-0.07442929,encoder_soil.fc1.weight,30x34
0.08288294,encoder_soil.fc1.weight,30x34
0.081287734,encoder_soil.fc1.weight,30x34
0.15237382,encoder_soil.fc1.weight,30x34
-0.034827575,encoder_soil.fc1.weight,30x34
-0.1226339,encoder_soil.fc1.weight,30x34
0.23416415,encoder_soil.fc1.weight,30x34
-0.14791039,encoder_soil.fc1.weight,30x34
0.018967127,encoder_soil.fc1.weight,30x34
-0.0038139021,encoder_soil.fc1.weight,30x34
-0.02941512,encoder_soil.fc1.weight,30x34
0.0060094697,encoder_soil.fc1.weight,30x34
-0.3286723,encoder_soil.fc1.weight,30x34
-0.18573509,encoder_soil.fc1.weight,30x34
-0.11012296,encoder_soil.fc1.weight,30x34
-0.11251386,encoder_soil.fc1.weight,30x34
0.27036208,encoder_soil.fc1.weight,30x34
-0.058721133,encoder_soil.fc1.weight,30x34
-0.113406055,encoder_soil.fc1.weight,30x34
0.06391619,encoder_soil.fc1.weight,30x34
0.14742172,encoder_soil.fc1.weight,30x34
0.13674493,encoder_soil.fc1.weight,30x34
-0.13455701,encoder_soil.fc1.weight,30x34
0.09829733,encoder_soil.fc1.weight,30x34
-0.06410529,encoder_soil.fc1.weight,30x34
0.19628511,encoder_soil.fc1.weight,30x34
0.07361722,encoder_soil.fc1.weight,30x34
0.03818047,encoder_soil.fc1.weight,30x34
0.22035928,encoder_soil.fc1.weight,30x34
0.09694871,encoder_soil.fc1.weight,30x34
-0.100713514,encoder_soil.fc1.weight,30x34
-0.06783518,encoder_soil.fc1.weight,30x34
0.21924911,encoder_soil.fc1.weight,30x34
-0.022264918,encoder_soil.fc1.weight,30x34
